date of purchase,book TITLE,price of  book ,qty of book ,after cut charges paybele
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,Physical Education Universe,500,1,344
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,677
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,677
22-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
22-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
22-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
22-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
22-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
22-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
22-06-2021,Fundamental of Yogic Practices,1500,1,937
22-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
22-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,Physical Education Universe,500,1,344
22-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
22-06-2021,Fundamental of Yogic Practices,1500,1,937
22-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
22-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
23-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
23-06-2021,Physical Education Universe,500,1,356
23-06-2021,UGC-Net Paper-II Bhugol ,300,1,88
23-06-2021,Khelo Ke Niyum,600,1,0
23-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
23-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
23-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,306
23-06-2021,Physical Education Universe,500,1,356
23-06-2021,Physical Education A Key to Success,750,1,438
23-06-2021,SAMPURN SHARIRIK SHIKSHA,500,2,588
24-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
24-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
24-06-2021,Physical Education and Sports Science,700,1,428
24-06-2021,Physical Education Universe,500,1,319
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
24-06-2021,Physical Education and Sports Science,700,1,428
24-06-2021,Physical Education and Sports Science,700,1,428
24-06-2021,Khelo Ke Niyum - 2021 ,350,1,164
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,Physical Education Universe,500,1,319
24-06-2021,Physical Education Universe,500,1,356
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
24-06-2021,Fundamental of Yogic Practices,1500,1,937
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
25-06-2021,Physical Education and Sports Science,700,1,428
25-06-2021,Physical Education and Sports Science,700,1,477
25-06-2021,Physical Education Universe,500,1,319
25-06-2021,Physical Education Universe,500,1,319
25-06-2021,Bhartiya Murtikala,200,1,89
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
25-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,697
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
26-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
26-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
26-06-2021,Physical Education Universe,500,1,344
26-06-2021,Physical Education Universe,500,1,319
26-06-2021,Physical Education Universe,500,1,344
26-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
26-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
26-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
26-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
26-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,294
26-06-2021,Physical Education Universe,500,1,356
26-06-2021,U.G.C. Net Examination Physical Education (in Hindi) - (10 Years Solved Question Paper - 2008-2017),600,1,328
26-06-2021,PTI Sharirik Shikshak Bharti (Objective Type Questions),400,1,144
26-06-2021,"Physical Education- U.G.C, T.G.T, P.G.T, D.S.S.S.B. & Other Competitive Examinations",600,1,288
26-06-2021,Physical Education and Sports Science,700,1,428
26-06-2021,Physical Education and Sports Science,700,1,477
26-06-2021,UGC Net Digest - Physical Education ( Third Revised and Update Edition) In 3 Vol Set,2100,1,1782
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
28-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,706
